point_est,ci_lower,ci_upper
0.8477411462037518,0.2982463437767411,1.3972359486307626
0.5179327925703838,-0.1387192609028154,1.174584846043583
1.049457490276164,0.40698827745253463,1.6919267030997933
1.0116517784298675,0.5958156180904297,1.4274879387693054
0.9132370187448329,0.43994997740059893,1.3865240600890667
-0.12841756447143035,-1.007392301657303,0.7505571727144423
0.8020641624191972,0.29593263186432495,1.3081956929740695
1.0243368029290922,0.17663040372102878,1.8720432021371556
0.7101574669883595,-0.6356500859069181,2.055965019883637
1.0659173617675979,0.3730260629123281,1.7588086606228677
0.9544450821420888,0.40244193849150334,1.5064482257926741
0.7672358737763254,0.1798596617248861,1.3546120858277648
0.9519258726704435,0.45837053865905253,1.4454812066818343
1.0207361253436602,0.3507272081485634,1.6907450425387571
0.8638041230030259,0.3328442502259865,1.3947639957800653
6.4326699858570064,-9.66106877264415,22.526408744358164
0.9985631309850421,0.44200536091098275,1.5551209010591016
1.3917878656256306,0.7840955272597709,1.9994802039914903
0.8326832806510748,0.22204999564540606,1.4433165656567435
0.9417501344421183,0.2976080824810847,1.5858921864031519
0.8427288969971797,0.3618086687178584,1.323649125276501
0.6793185343808446,0.06749530741843468,1.2911417613432543
0.9299776855831473,0.4982717188021675,1.3616836523641271
1.365715441655101,0.7815487770850936,1.9498821062251084
1.378823065715533,0.8268413390917106,1.9308047923393552
1.4462398565108137,0.8389443113157075,2.0535354017059197
0.9967377170776888,0.5233063328190282,1.4701691013363494
0.8440277952900858,0.37305407152709036,1.315001519053081
1.0174035016747198,0.4633537815944734,1.5714532217549664
0.7192940229256632,0.3185731337316009,1.1200149121197256
1.1187365287548885,0.6183090073548381,1.619164050154939
0.9769163338377557,0.19566643698162456,1.7581662306938868
0.6580169301527685,0.0902795319770544,1.2257543283284826
0.3982777014387207,-0.08875233811200334,0.8853077409894448
0.9246221044376892,0.2767935921638669,1.5724506167115115
1.4602853113649057,0.8529250715060545,2.067645551223757
1.5603746078410061,0.8985765520613161,2.222172663620696
1.0117122399549678,0.5320729988064563,1.4913514811034794
0.633501704070879,0.020110914235756838,1.2468924939060013
1.2804527925169824,0.864397828870251,1.6965077561637139
1.5869747947079407,0.8258493363231575,2.3481002530927237
0.9787979467503872,0.5870289043113635,1.370566989189411
1.254399912251605,0.7183000789766331,1.790499745526577
0.9161572966341952,0.49385961225320957,1.338454981015181
1.2705980260089276,0.6086108154365015,1.9325852365813536
1.2348991574041144,0.866643953424577,1.6031543613836519
1.263542642379269,0.684835637755668,1.8422496470028702
0.931733675201915,0.34923067588150536,1.5142366745223246
1.5644923364596364,1.031326166583505,2.097658506335768
1.8953055230780498,0.704089424623944,3.086521621532156
1.2696634598069876,0.6667395190444438,1.8725874005695313
0.675203289344143,0.34223067337345303,1.008175905314833
1.1356941801856293,0.7148569773902209,1.5565313829810377
1.146090868244643,0.583231391451955,1.708950345037331
1.0226508798802905,0.5881883836431259,1.457113376117455
0.9277563865108343,0.21057534226486763,1.644937430756801
0.8387681706509375,0.4410309716117219,1.236505369690153
1.1663248339322483,0.6407695367885218,1.6918801310759748
0.8824425104996126,0.3912869714995415,1.3735980494996838
1.433821048170629,1.0499916272729544,1.8176504690683037
1.1052405637995937,0.5786818197720305,1.6317993078271569
0.9160162692973611,0.42740328277375506,1.4046292558209672
0.8789070089845096,0.4513590870909264,1.3064549308780928
0.8728683493452235,0.32987070976309063,1.4158659889273564
1.0880377154928975,0.4149600405744306,1.7611153904113643
1.0421895091774727,0.5448791250939311,1.5394998932610142
1.3193885583298732,0.7384326956181664,1.90034442104158
0.8723654774381964,0.5449151872019646,1.199815767674428
0.6181974919982208,-0.23313493324757495,1.4695299172440166
1.0889733653327303,0.6177836268805911,1.5601631037848693
1.297090215142616,0.7143852176777439,1.8797952126074882
1.4141880686387163,0.9105217758336185,1.9178543614438142
1.1853155697528457,0.6572516879847601,1.7133794515209313
1.2306013052336402,0.6738435341963853,1.787359076270895
0.8069845259556931,0.31752183865627787,1.2964472132551084
0.9970754279358138,0.5257670675753713,1.4683837882962565
1.2893749898966467,0.1845499312020591,2.3942000485912343
0.6969822911776189,-0.9307049507833816,2.3246695331386196
0.8882139650729817,0.39017630249456464,1.3862516276513988
1.7501491744909157,0.6529879878708986,2.8473103611109325
0.24967119284031905,-0.45626871507002453,0.9556111007506626
0.6722059420524434,0.05781203175424121,1.2865998523506457
1.085550174117022,0.6073125402330626,1.5637878080009813
1.2886614410439825,0.7496603075720394,1.8276625745159256
0.8234125069716511,0.10771736877340776,1.5391076451698944
0.4217779779983483,-0.14647729051565,0.9900332465123467
1.1001803508294135,0.4418258445343126,1.7585348571245143
0.6612632459687493,0.15298967912319883,1.1695368128142998
1.0229369565702775,0.41162688728841357,1.6342470258521415
1.4180563756612448,0.915767162725358,1.9203455885971317
1.1839980345853716,0.6636593929403948,1.7043366762303482
0.9972206608228178,0.5514193723630505,1.443021949282585
0.717196536496138,0.13565780736201838,1.2987352656302575
1.060172310434298,0.5164228812403632,1.6039217396282326
0.6414957107921789,0.16951481519744394,1.113476606386914
1.8061909892164882,1.0519384998796886,2.560443478553288
0.841852520132188,0.48675274201429536,1.1969522982500806
1.3015549280700318,0.7686023893103181,1.8345074668297454
0.6615846463745918,0.16608226987168595,1.1570870228774977
0.6940397253679595,-0.028065766916929524,1.4161452176528486
